scenario,sweep_param,sweep_value,depth_rel,A,aPAR,Rd,Ps,Kn
Uniform,LAI,3,0.407142857142857,6.83035731345382,349.309305116557,0.696727771913023,0.434821973170624,0.640991930817947
Uniform,LAI,3,0.421428571428571,6.63573868250033,338.108607807308,0.690386721258706,0.422176462899307,0.620029564645559
Uniform,LAI,3,0.435714285714286,6.4452201608837,327.291738272552,0.68410338170049,0.409898709870929,0.599928622015994
Uniform,LAI,3,0.45,6.25885700418371,316.845769513763,0.67787722799882,0.397978018954423,0.580650782291126
Uniform,LAI,3,0.464285714285714,6.07669268669025,306.758250652626,0.671707739694449,0.386404006054961,0.562158200775465
Uniform,LAI,3,0.478571428571429,5.89876156354566,297.017190072468,0.665594401064923,0.375166589068381,0.544414762015037
Uniform,LAI,3,0.492857142857143,5.72508842055881,287.611039223916,0.659536701081479,0.364255979098683,0.527385623573918
Uniform,LAI,3,0.507142857142857,5.55568861704787,278.5286770703,0.653534133366322,0.35366267193094,0.511036972886237
Uniform,LAI,3,0.521428571428571,5.39056892717817,269.759395149344,0.647586196150295,0.343377439752185,0.495336137192397
Uniform,LAI,3,0.535714285714286,5.22972933620412,261.292883228638,0.641692392230938,0.333391323113087,0.480252267354615
Uniform,LAI,3,0.55,5.07316222994293,253.119215533361,0.635852228930926,0.323695623123381,0.465755503725034
Uniform,LAI,3,0.564285714285714,4.92085376177808,245.228837525587,0.630065218056879,0.314281893874283,0.451817371191814
Uniform,LAI,3,0.578571428571429,4.77278573071262,237.612553215429,0.62433087585856,0.30514193508127,0.438411477454042
Uniform,LAI,3,0.592857142857143,4.62893428180718,230.261512985057,0.618648722988432,0.296267784940828,0.425512436190542
Uniform,LAI,3,0.607142857142857,4.48927059118946,223.167201907493,0.613018284461592,0.287651713194934,0.41309586373416
Uniform,LAI,3,0.621428571428571,4.35376253599384,216.321428542812,0.607439089616064,0.279286214397243,0.401138991898427
Uniform,LAI,3,0.635714285714286,4.2223740433179,209.716314195176,0.601910672073454,0.271164001375107,0.38961994796115
Uniform,LAI,3,0.65,4.09506629265395,203.344282614813,0.596432569699966,0.263277998881726,0.378518117190233
Uniform,LAI,3,0.664285714285714,3.97179816313746,197.198050129778,0.591004324567771,0.255621337432918,0.367814102870193
Uniform,LAI,3,0.678571428571429,3.85252682119442,191.270616192999,0.585625482916728,0.248187347323114,0.357489760958723
Uniform,LAI,3,0.692857142857143,3.73720721754747,185.555254330745,0.580295595116451,0.240969552815398,0.347527606471357
Uniform,LAI,3,0.707142857142857,3.62579332139559,180.045503479328,0.575014215628725,0.233961666500495,0.337911294502073
Uniform,LAI,3,0.721428571428571,3.5182380958649,174.735159697389,0.569780902970263,0.227157583819822,0.328625335409462
Uniform,LAI,3,0.735714285714286,3.41449384328334,169.618268241774,0.564595219675801,0.220551377747817,0.31965505850386
Uniform,LAI,3,0.75,3.31451294734698,164.689115995527,0.559456732261529,0.214137293628916,0.310986865463816
Uniform,LAI,3,0.764285714285714,3.21824749517979,159.942224237106,0.554365011188851,0.207909744164681,0.302607749751886
Uniform,LAI,3,0.778571428571429,3.12564977042646,155.372341740424,0.549319630828488,0.201863304546714,0.294505426458491
Uniform,LAI,3,0.792857142857143,3.03667237549205,150.974438195889,0.54432016942489,0.195992707731116,0.286668211407577
